Table;LBB_Module;IFS_Module
AADVO;Customer_Reporting;Account_Management
AAFRL;Customer_Reporting;Account_Management
AAFRO;Customer_Reporting;Account_Management
AAISO;General_Ledger;General_Ledger
AASPL;General_Ledger;General_Ledger
AASPS;CORE;CORE
ABA1L;General_Ledger;General_Ledger
ABA1S;General_Ledger;General_Ledger
ABASL;;auxiliary
ABASS;;auxiliary
ABCLL;Financial_Markets_Trade_engine;Financial_Markets
ABCLO;Financial_Markets_Trade_engine;Financial_Markets
ABKTL;General_Ledger;General_Ledger
ABKTS;General_ledger;General_Ledger
ABUDL;General_Ledger;General_Ledger
ABUDS;General_ledger;General_Ledger
ACLOG;;auxiliary
ACVRO;;auxiliary
ADEIO;Current_Account_Engine;Account_Management
ADETL;Current_Account_Engine;Account_Management
ADETS;Current_Account_Engine;Account_Management
ADLGL;General_Ledger;General_Ledger
ADLGS;General_ledger;General_Ledger
ADSNL;General_Ledger;General_Ledger
ADSNS;General_ledger;General_Ledger
AEVTO;Current_Account_Engine;Account_Management
AEXRL;Core;CORE
AEXRS;Reference_Data_Manager;CORE
AFOLO;General_Ledger;General_Ledger
AGEXL;General_Ledger;General_Ledger
AGEXS;General_ledger;General_Ledger
AHLBO;Current_Account_Engine;Account_Management
AHVBO;Current_Account_Engine;Account_Management
AIBRL;;auxiliary
AIBRO;;auxiliary
AINIO;;auxiliary
AINTL;Core;CORE
AINTS;Arrangement_Management;CORE
AISTO;Customer_Reporting;Account_Management
AJSTL;General_Ledger;General_Ledger
AJSTO;General_Ledger;General_Ledger
ALGRL;General_Ledger;General_Ledger
ALGRS;General_ledger;General_Ledger
AMDCO;General_Ledger;General_Ledger
AMVTO;Current_Account_Engine;Account_Management
ANEUL;General_Ledger;General_Ledger
ANEUO;General_Ledger;General_Ledger
ANTUL;Current_Account_Engine;Account_Management
ANTUS;Current_Account_Engine;Account_Management
APPNL;CORE;CORE
APPNO;Product_Management;CORE
ARBRL;General_Ledger;General_Ledger
ARBRO;General_Ledger;General_Ledger
ARCDL;General_Ledger;General_Ledger
